cgpa,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,salary_lpa
6.63,1,1,0,0,0,14.7,8.1,48.5,1,2,0,50.8,1,1,40.9
6.03,3,1,1,0,0,31.9,6.3,66.4,1,2,0,58.2,2,1,54.6
8.86,2,0,1,1,0,44.9,4.1,88.2,2,2,0,64.1,2,1,67.96
6.69,2,0,1,0,0,2.5,8.8,40.1,0,3,0,52.3,1,1,41.03
5.3,3,0,1,1,0,48.7,4.9,96.9,0,1,0,43.2,2,1,65.61
5.12,3,0,0,0,0,85.8,5.1,56,3,5,0,73.8,0,1,47.16
9.28,3,1,0,0,1,55.5,9.6,88.8,1,1,0,63.1,2,1,59.33
5.08,1,1,1,0,0,13.3,5.7,54.4,0,6,0,64.6,2,1,59.82
8.65,2,0,1,0,0,98.8,7,96.9,3,1,0,61.7,1,1,55.07
7.97,2,0,0,1,0,30.5,6.3,98,0,6,0,55.5,1,1,36.79
7.88,1,0,1,0,0,29.3,8.6,85.3,1,2,0,56.9,1,1,47.26
7.55,1,1,1,0,0,27,7.3,61.6,1,5,1,81.1,2,1,71.23
9.54,2,1,1,0,1,83,6.4,78.3,2,5,0,90.7,3,1,60.39
7.06,2,1,0,0,0,25.8,6.9,96.8,1,5,0,61.2,1,1,39.53
8.77,1,1,1,0,1,82.3,8.9,57.1,0,6,0,89.7,3,1,82.72
7.02,3,1,0,1,0,54.6,5.4,49.1,1,3,0,62,2,1,85.51
7.55,3,1,1,0,1,72.1,5.6,75,2,6,1,92.6,3,1,75.48
7.32,2,1,1,0,1,31.2,5.6,69.7,3,1,0,86.2,3,1,72.59
7.59,1,0,0,0,0,87.4,8.8,87.1,0,2,0,41.3,0,1,40.12
8.37,3,1,0,0,1,49.4,8,89,1,3,2,73.3,2,1,73.36
7.07,1,0,1,0,1,66.4,8,71.2,1,5,0,83.4,2,1,68.28
8.32,2,1,1,1,0,11,4.4,62.4,1,6,0,84,3,1,76.99
7.37,3,1,1,1,0,66.8,8.4,84.5,1,4,0,88.6,3,1,74.19
9.64,2,0,1,1,0,18.4,5.9,73.6,0,4,0,53.4,2,1,61.45
6.8,3,1,0,1,1,87.3,6.4,97.8,1,5,0,82.2,3,1,89.81
9.53,2,1,1,1,0,77.4,5.5,56.8,1,6,0,88,3,1,92.23
5.88,3,1,0,0,0,18.1,8,74.8,1,5,0,68.6,1,1,40.7
5.71,2,1,0,0,1,1.2,7.6,86.3,0,2,0,57.3,2,1,43.59
9.56,1,1,0,0,1,57.8,9.1,89.6,3,5,0,100.9,2,1,69.56
10,1,0,0,0,0,35.5,8.2,51,1,5,0,60.3,0,1,37.48
9.26,1,0,0,0,1,25.5,10,61.3,1,1,0,58.4,1,1,48.63
7.31,1,1,1,0,0,99.6,8.5,76.9,2,5,1,87.1,2,1,98.31
5.1,1,1,0,0,0,96.4,5.3,75.3,2,1,0,46.6,1,1,47.9
8.43,1,0,0,0,0,93.9,8,55.3,0,1,0,28.3,0,1,47.17
6.07,2,1,0,0,1,9,9.8,77.9,3,1,0,81,2,1,67.25
9,2,1,1,1,0,82.7,8.5,80.7,0,1,3,61.3,3,1,90.33
5.27,1,1,1,0,0,69.3,4.4,89,0,3,0,49.5,2,1,64.01
9.18,2,1,0,0,0,40.1,6,88.2,3,2,1,72.8,1,1,41.37
7.48,3,1,1,1,1,54.7,8.3,97.9,1,5,0,103.6,4,1,73.66
6.84,2,0,0,0,1,84.5,9.5,67.8,0,6,1,71.2,1,1,48.36
5.62,3,0,1,0,1,27.3,9.4,94.2,3,5,1,107.7,2,1,86.28
8.77,2,0,1,0,0,25.9,9,51.6,2,6,1,84.5,1,1,44.56
9.79,1,0,0,0,1,42.9,6.7,49.4,1,2,1,54.5,1,1,42.71
6.67,3,0,1,0,0,9.6,8.8,50.5,0,5,0,60.9,1,1,43.61
7.39,3,1,0,1,1,88,6.7,74.8,2,6,1,104.2,3,1,70.66
5.2,2,1,1,0,1,82.5,5.7,64.3,1,1,0,58.1,3,1,74.11
7.86,1,1,0,0,0,85,8.2,92.2,0,1,0,35.9,1,1,39.54
6.27,3,0,1,0,0,48.3,7.1,76.3,3,2,1,75.2,1,1,42.33
6.49,2,0,1,0,1,23.4,9.6,56.5,0,5,0,69,2,1,75.8
6.21,1,0,1,0,0,68,4.9,73.6,0,4,0,48,1,1,39.26
9.58,1,1,1,0,1,41.5,6.7,89.8,0,1,0,53.7,3,1,70.21
7.6,1,1,1,0,0,14,8.2,59.3,2,6,0,98.9,2,1,62.57
6.33,3,1,1,1,0,29.7,6.2,59.6,0,6,0,74.4,3,1,77.07
9.45,1,1,1,0,0,35.5,7.1,71.8,1,5,0,72.7,2,1,55.87
9.09,2,1,0,1,0,47.1,8.3,52.8,2,1,0,67.4,2,1,66.26
6.42,1,0,1,1,1,70.6,7.9,95.4,3,6,0,117,3,1,91.72
9.65,2,1,0,0,1,8.5,5.3,53.8,1,5,0,70.3,2,1,84.23
5.59,3,1,1,0,1,81.6,8.8,44.4,2,3,0,96,3,1,52.39
8.92,1,0,0,1,1,21.8,8.7,42.9,0,5,0,75.3,2,1,51.67
6.62,1,0,1,1,1,50.2,5,81,2,6,0,94.6,3,1,54.67
8.87,1,1,0,1,1,94.2,4.8,54.1,1,4,0,73.2,3,1,88.37
9.79,3,1,0,0,0,62.4,7.7,56.6,1,4,0,60.2,1,1,49.31
6.79,3,1,1,0,0,89,6.1,88.1,0,2,0,49.4,2,1,60.41
7.51,3,1,0,0,0,63.8,5.3,95.9,1,4,0,54.8,1,1,50.98
6.71,3,0,1,0,1,46.5,6.7,84.9,0,6,1,66.7,2,1,65.08
9.04,1,0,0,1,0,59.2,8.5,85.7,2,2,0,65.8,1,1,39.33
9.07,2,1,0,1,1,96.8,9.6,68.9,2,4,1,98.8,3,1,56.04
9.95,3,1,1,0,1,87,6.6,69.2,0,3,0,60.4,3,1,67.3
8.57,3,1,1,0,0,31.2,9.4,87.8,2,2,0,74.4,2,1,93.55
6.97,2,0,1,0,0,59.5,6.2,50,2,5,0,78.1,1,1,53.23
7.13,2,1,1,0,1,41.8,5.9,98.4,3,4,0,100.2,3,1,73.87
8.72,3,0,1,0,0,64.4,9.1,97.2,2,4,2,82.1,1,1,49.56
8.86,1,1,1,0,1,78.6,5.2,89.1,3,1,2,83.2,3,1,105.49
9.1,1,0,1,0,0,54.9,5.3,44.7,2,3,1,58.6,1,1,53.25
5.8,2,1,0,0,0,99.9,8.6,54.5,1,4,1,61.9,1,1,44.2
7.85,3,1,1,1,1,47.6,4.5,97.3,0,1,0,61.1,4,1,70.93
7.46,3,0,1,0,0,46.1,7.3,48.5,2,1,0,53.7,1,1,38.82
8.1,3,0,0,1,0,90.3,5.1,89.1,1,4,0,57.9,1,1,41.66
9.75,1,1,0,0,0,37.2,7.8,50.5,1,3,1,59.4,1,1,48.63
6.31,2,1,0,1,1,68.3,5.4,52.9,1,3,0,69.3,3,1,85.88
6.77,1,0,1,0,1,24.8,8.9,58.7,0,2,0,55.8,2,1,78.59
9.57,1,0,1,0,0,40.4,6.9,40,2,4,0,68,1,1,48.44
5.21,1,0,0,0,0,45,8.2,42.9,2,6,0,70.9,0,1,42.31
8.71,1,1,0,0,0,90.3,8.6,69.6,3,4,0,81.8,1,1,56.28
8.02,3,1,1,1,0,47.6,8.1,92.6,2,1,1,78.4,3,1,69.77
7.31,2,0,1,0,0,89.4,10,73,1,1,1,55.5,1,1,49.05
6.6,2,1,1,1,0,77,8.5,79.4,3,5,1,113.5,3,1,97.52
6.68,3,1,0,1,0,25.8,8.9,56.7,1,3,0,76.6,2,1,77.72
9.7,1,0,1,0,1,64.8,9.6,77.5,1,1,1,67.5,2,1,51.04
9.49,1,1,0,0,0,6.7,8.3,85.8,2,5,0,79,1,1,43.9
9.05,3,1,1,1,1,43.8,7.1,95.9,1,4,1,92.7,4,1,78.79
7.67,3,1,1,1,0,29.9,5.7,74.6,0,1,0,56.2,3,1,56.58
7.73,1,1,1,0,1,23.1,9.8,79.6,0,3,0,71.9,3,1,77.19
9.72,3,1,0,1,0,59.5,6.3,64.1,0,4,0,61.1,2,1,62.12
6.01,3,1,1,1,0,68.6,7.7,78.3,2,3,0,91,3,1,90.89
9.9,2,1,1,0,0,80.2,6.9,94.3,1,2,0,58,2,1,90.74
8.85,3,1,1,0,0,22.4,8.3,93.8,0,4,1,69.8,2,1,62.41
5.19,3,0,1,0,1,21.4,10,81.9,2,6,0,101.8,2,1,68.19
9.74,2,1,1,1,1,58.8,4.6,59.4,1,5,0,87.6,4,1,61.98
6.71,3,1,1,0,1,67.7,5.3,62.3,0,4,0,68.8,3,1,57.1
8.27,3,0,1,1,0,84.3,5.6,65,0,2,0,42.1,2,1,67.38
6.95,1,1,1,0,0,34.7,8.6,72.1,0,1,0,49.3,2,1,57.12
9.49,2,0,0,1,1,69.3,4.2,71.7,1,1,0,52.1,2,1,75.5
8.69,3,1,0,1,0,21,7.7,52.7,1,4,0,71,2,1,75.76
5.84,2,1,1,1,1,15.9,4.8,76.9,2,6,1,101.5,4,1,73.03
8.82,2,1,0,0,1,37.6,6.8,89.4,0,1,0,49.9,2,1,61.7
9.39,3,1,1,0,0,95.2,5.5,56,1,6,0,72.3,2,1,75.46
6.66,3,0,1,1,1,72.4,8.2,81.7,2,3,0,92,3,1,64.75
8.88,2,0,1,1,1,11.4,5.6,70.9,2,2,0,72.5,3,1,49.53
8.47,1,1,1,1,0,39.7,9.9,99.3,1,2,2,79.2,3,1,75.43
9.02,3,1,0,0,1,49.3,4.1,97.3,1,4,0,64.6,2,1,69.95
8.17,1,1,1,1,0,7.2,8.8,73.3,1,3,0,83.3,3,1,59.89
8.27,1,1,1,0,0,52.1,6.7,87.5,3,1,1,79.2,2,1,67.02
9.6,3,1,0,0,1,44.2,8.5,70.6,0,1,1,51.1,2,1,58.92
8.01,3,1,1,1,0,33.4,8.1,54.8,1,6,0,98.8,3,1,63.22
8.76,2,1,1,0,0,37.8,6.5,91,3,1,1,73.1,2,1,79.56
7.37,2,0,1,0,0,58,8.2,64.6,2,3,2,73.2,1,1,41.81
7.94,1,1,1,0,1,52.8,9.8,89,2,1,0,79.6,3,1,95.44
5.71,2,1,1,1,0,95.7,5.3,98.2,1,4,0,76.2,3,1,75.68
6.33,2,0,0,1,1,15.2,5.5,79.1,3,6,0,100.2,2,1,66.08
7.62,1,1,1,0,0,55.7,9.6,63.3,0,6,0,76.4,2,1,62.43
5.94,1,1,1,0,0,73.4,9,78.1,0,6,0,79.7,2,1,57.38
7.03,3,1,1,0,0,43.9,5.3,41.7,1,5,0,73.5,2,1,59.21
6.09,3,1,0,0,1,79.3,8.2,93.2,0,5,1,67.8,2,1,56.23
8.4,3,1,0,0,0,26,5,51.3,2,5,0,73.8,1,1,45.88
8.18,1,1,0,0,0,34.3,4.7,65.6,0,6,1,58.1,1,1,43.71
6.23,1,1,0,0,0,22.8,8.1,51.7,2,1,0,63,1,1,47.82
6.93,1,0,0,1,0,77.5,5.5,63,1,1,0,37.6,1,1,46.35
8.71,2,0,1,0,0,98.6,5.1,74.1,1,3,0,46.4,1,1,41.03
9.1,3,1,0,0,1,46.9,9.5,86.1,2,3,0,87,2,1,76.97
9.07,3,0,0,1,0,33,9.2,95,3,1,0,69.8,1,1,43.72
8.07,1,1,0,0,1,69,9.3,64.2,1,4,0,79.5,2,1,58.73
5.88,3,1,1,0,0,98.9,4.9,83.1,1,5,0,66.5,2,1,58.46
9.42,2,1,0,0,0,52.6,7.6,68,2,2,0,62.7,1,1,49.98
9.94,2,0,0,0,1,79.3,6.9,58.3,1,1,1,41.7,1,1,44.76
9.9,3,0,0,1,0,2.5,7,47.8,3,5,2,83.2,1,1,49.67
9.45,1,1,0,0,0,77,4.1,68.7,1,1,0,38.6,1,1,45.92
8.22,1,0,0,1,1,18.9,7.4,96.1,0,4,0,61.1,2,1,78.54
6.05,3,1,1,0,0,60.4,6.9,65.7,2,1,0,62.3,2,1,81.77
9.75,2,1,0,0,1,21.5,6.7,98.6,2,2,0,72.5,2,1,56.93
5.34,3,1,1,0,0,77.5,5.4,60.1,0,4,1,60,2,1,82.36
5.51,1,1,1,0,0,9.4,7.6,91.3,2,4,3,84.4,2,1,71.32
7.6,2,1,1,0,1,34.3,6.6,73.5,2,2,0,78.3,3,1,77.92
7.92,3,0,1,0,0,70.1,8.2,41.1,1,2,0,56.7,1,1,50.18
9.99,2,0,0,0,0,78.2,4.3,84.9,0,5,0,41.1,0,1,45.95
6.57,2,1,0,1,0,51.9,7.2,86.2,1,4,0,70.7,2,1,85.34
9.2,3,1,1,0,1,25.8,6.6,52.6,0,3,0,67.3,3,1,69.75
6.71,1,0,1,0,0,86,5.6,40.8,0,6,2,54.7,1,1,44.66
5.36,2,1,1,1,1,38,6.5,61.1,1,1,0,75,4,1,66.38
5.95,1,0,0,1,0,79.6,6.3,44.8,1,5,0,59.5,1,1,42.76
6.72,3,0,0,0,1,17.5,9.5,88,0,2,0,47,1,1,36.5
7.78,1,1,1,0,0,66,7.7,71.9,1,6,1,84,2,1,84.17
9.76,2,1,0,1,0,81.6,4.3,59.9,0,4,0,55.6,2,1,72.53
7.27,2,1,0,0,1,3,5.8,88.7,3,2,0,82.2,2,1,51.01
9.81,1,1,1,1,0,42.5,5.8,63.7,2,3,3,83.8,3,1,68.18
5.54,1,0,1,1,1,47.5,4.3,97.5,0,4,0,61.1,3,1,82.13
9.5,3,0,1,1,1,35.1,7.8,81.3,1,3,0,74.3,3,1,74.25
8.06,2,1,1,0,1,96.8,5.3,52.9,0,3,0,57,3,1,78.74
8.42,3,0,0,0,1,46.9,10,84,1,1,0,57.5,1,1,51.44
6.94,3,1,1,0,1,91,5.1,58.8,1,5,3,79.2,3,1,93.51
9.51,1,0,0,0,0,49.5,5.5,83.4,0,4,0,39,0,1,39.85
5.66,1,0,1,0,0,29.5,9.4,50.5,2,1,0,61.5,1,1,36.77
6.01,2,0,0,0,0,90.8,5.1,76.2,3,6,1,72,0,1,48.36
5.75,2,1,1,1,0,8,5.5,54,0,6,0,80.3,3,1,83.81
5.33,3,1,0,0,1,61.5,6.4,91.8,1,5,0,73.8,2,1,88.6
9.91,1,0,1,0,1,79,8.8,45.7,2,6,0,98.1,2,1,71.41
6.76,2,0,0,1,0,32.7,8.1,55.2,3,6,1,99,1,1,49.19
7.67,3,1,1,0,0,99.2,7.8,92.4,2,1,0,66.5,2,1,84.82
5.31,3,1,1,0,0,97.9,7.3,68.6,2,6,0,96.3,2,1,64.77
7.77,1,1,0,0,0,62.2,5.3,47.7,3,1,0,56.1,1,1,45.72
8.14,2,1,1,0,0,39,4.7,86.8,2,1,0,57.2,2,1,86.36
9.54,2,1,0,0,1,3,8.6,94.4,2,3,0,76.8,2,1,78.5
8.48,2,1,0,1,0,82.5,6.1,60.3,0,4,2,62.6,2,1,83.57
6.41,2,0,1,0,0,48.1,9.2,90.7,3,5,2,94.6,1,1,48.78
7.86,2,0,0,1,0,70.6,6.2,71.9,3,1,0,59.8,1,1,52.6
8.15,1,1,0,0,1,22,7.5,77.5,0,1,1,45.4,2,1,81.92
5.96,1,0,1,0,0,38,7.6,80.3,1,5,0,66.6,1,1,45.83
5.14,2,1,1,0,0,64.6,7.9,96.4,0,4,0,64.3,2,1,58.19
7.99,1,1,1,1,0,15,6.7,53.7,0,5,0,73.6,3,1,82.34
5.75,2,1,1,1,0,39.1,9.6,47.4,0,5,1,82.9,3,1,76.03
7.88,1,1,1,1,0,34.5,9,54.3,1,4,0,83.6,3,1,53.46
7.37,1,1,1,0,1,75.6,4.5,49.2,0,1,0,50.1,3,1,89.33
9.64,3,1,0,1,0,64.1,6.2,78.2,2,2,0,72.4,2,1,59.35
8.87,1,0,0,0,0,37.9,6.4,65.2,1,4,0,50.3,0,1,45.66
7.77,1,1,0,0,0,42.2,6.7,56.3,0,2,0,36.7,1,1,41.8
5.68,2,1,0,1,0,61.3,6.8,55.4,1,4,0,67.3,2,1,56.09
9.39,1,1,0,1,0,65.4,4.7,94.3,0,3,0,49.6,2,1,49.23
6.34,2,1,1,1,0,38.3,7.9,51.7,0,4,0,70,3,1,75.51
5.3,3,1,0,1,0,70.2,5.1,79.3,2,5,0,78,2,1,59.29
6.53,1,0,1,0,1,82,8,99.3,0,1,1,45.3,2,1,92.34
6.6,1,1,1,0,0,66,6,79.2,1,6,0,80.4,2,1,86.31
7.89,3,1,0,0,0,34.8,4.1,87.9,1,1,0,36.9,1,1,38.52
9.81,3,1,0,1,1,59.1,9.2,70.9,2,5,0,103.7,3,1,72.22
8.67,1,1,1,1,0,44.2,8.9,96,0,5,1,84.2,3,1,88.25
8.61,1,1,0,1,1,57.9,9.6,94.5,2,6,0,106,3,1,78.74
5.33,3,1,1,0,1,37.3,5.8,91.7,1,4,0,77.7,3,1,79.38
9.53,2,1,1,1,0,24.4,8.7,66.5,1,6,0,95.3,3,1,78.46
9.32,2,0,1,0,0,64.8,8.6,67.7,0,6,0,64.6,1,1,51.65
8.88,1,1,1,0,0,24,4.2,62.8,1,1,1,48.1,2,1,80.02
9.51,1,0,0,0,1,74.9,5.3,48.7,0,3,0,40.9,1,1,52.07
8.27,1,1,1,1,0,60.8,9.1,95.1,0,3,0,71.8,3,1,72.09
8.53,1,1,0,0,0,53.2,7.7,64.2,2,3,0,67.8,1,1,50.29
9.67,1,1,0,1,0,76.6,4.5,97.3,1,2,0,53.8,2,1,53.24
9.69,2,1,1,1,1,73.6,5.7,81.2,1,4,0,84.7,4,1,81.72
5.69,2,0,1,1,0,32.3,7.4,61.4,3,6,1,105.5,2,1,53.21
8.12,2,1,1,0,0,57.5,8.3,64.4,0,5,0,74,2,1,88.85
8.54,1,1,0,0,1,70.3,8.8,95.1,1,3,0,73.1,2,1,53.99
7.54,1,1,0,1,0,17.2,4.5,82.6,1,5,0,68.5,2,1,73.13
6.28,3,1,0,1,1,34.3,8.2,79.4,0,4,0,77,3,1,78.21
5.7,2,0,0,0,1,76,9.1,84.6,3,3,0,83.5,1,1,43.06
5.58,2,1,1,0,0,39.3,7.7,85.8,1,3,0,66.8,2,1,66.1
8.03,2,1,0,0,0,72.2,8.5,83.4,0,6,1,63.7,1,1,41.01
8.3,1,0,0,0,0,58.5,10,73.6,1,2,0,50.1,0,1,48.63
7.72,3,1,1,0,1,2.5,9.7,44.2,1,6,0,96.9,3,1,55.26
6.52,3,1,1,0,1,32.3,9.8,67.5,0,4,0,82.6,3,1,81.91
5.06,3,0,1,0,1,67.6,4.2,44.7,2,1,1,57.9,2,1,87.85
9.03,3,0,0,0,0,99.1,6.4,80.2,0,2,0,26.8,0,1,45.68
8.22,3,1,1,1,0,31.5,9.1,93.9,0,2,0,64.9,3,1,64.09
7.68,2,1,1,0,0,13.7,9.9,41,3,1,0,82.9,2,1,61.33
8.48,1,0,1,0,0,93.5,7.8,69,1,5,1,73,1,1,51.61
6.87,3,1,1,0,1,52.2,4.7,87.8,1,2,0,65.9,3,1,80
5.71,1,1,0,0,1,16,9.4,73.6,0,4,0,72,2,1,64.34
5.67,3,1,1,0,1,98.1,4.7,41.1,2,3,0,77.3,3,1,81.25
9.3,3,1,0,0,0,94.9,4.5,82.6,0,6,0,51.4,1,1,47.28
5.5,1,1,0,1,1,70,6.8,94.5,1,5,1,85.7,3,1,70.85
5.98,2,1,1,1,0,71.5,9.9,67.8,2,4,0,100.4,3,1,92.06
8.54,3,1,0,1,0,28.2,9.6,41.6,0,1,1,56.7,2,1,62.58
6.73,1,1,0,0,1,63.8,7.4,74.2,1,2,0,59.5,2,1,54.02
9.72,2,1,0,0,1,34.4,5.9,55.7,0,4,1,53.5,2,1,56.37
5.43,3,0,0,0,1,25.8,9.2,53.5,1,4,0,67.1,1,1,42.1
6.15,3,1,0,0,0,37.5,6.5,73.5,3,3,2,70.1,1,1,40.55
5.96,2,1,1,0,1,64,8.7,54.4,1,6,0,92.6,3,1,53.14
5.06,2,1,1,0,0,42.8,8.6,50.9,0,2,0,57.3,2,1,77.51
5.5,1,1,1,1,0,2.5,4.6,75.2,0,5,1,71.3,3,1,65.81
8.61,1,1,1,1,0,31.1,7.4,78.3,0,3,0,65.3,3,1,75.08
5.81,2,1,1,1,0,53.5,9.5,88.1,2,4,0,99.4,3,1,72.87
5.79,2,1,1,1,0,96.5,4,59.5,1,1,0,56.4,3,1,71.72
7.94,1,1,1,0,0,68,9.8,60.9,0,1,0,56.7,2,1,73.1
6.29,1,0,1,0,0,99,6.2,62,2,4,0,70.3,1,1,45.92
8.18,2,0,0,0,1,35.6,4,40.4,1,5,0,58.2,1,1,39.34
9.91,3,0,1,1,0,77.8,9.9,45.3,2,6,1,97.3,2,1,92.07
6.48,3,1,1,0,1,1.2,6.9,70.3,0,5,0,76.1,3,1,57.03
8.65,3,1,1,1,0,6.8,7.4,61.3,1,6,0,93.9,3,1,72.02
7.04,1,1,0,0,0,50.1,5.6,64.5,0,1,0,32.6,1,1,36.24
8.54,3,1,0,0,0,10.6,7.9,98.1,1,2,0,49.7,1,1,38.11
6.05,3,0,1,0,0,92,6.3,72.6,2,4,0,72.8,1,1,51.64
6.99,1,0,1,0,0,1,7.6,79.5,0,3,0,45.9,1,1,39.44
9.54,1,0,1,1,0,83,6,87.7,0,2,0,50.2,2,1,66.87
9.73,3,1,1,1,0,32.3,8,45.2,3,5,0,113.2,3,1,65.77
7.25,3,1,0,0,0,33.6,7.7,63.2,2,5,0,74.2,1,1,44.23
5.67,2,0,0,1,1,11.6,5.3,45.4,2,6,0,88.2,2,1,65.04
5.55,1,1,0,0,0,90.7,6.8,48.6,0,5,1,53.6,1,1,47.6
7.68,1,1,1,0,1,81.4,5.4,83,0,1,0,53.4,3,1,113.81
5.86,1,1,0,0,0,38.1,5.7,95,0,6,0,60.9,1,1,43.49
6.64,3,0,1,1,0,76.5,7.5,46.6,1,4,2,68.3,2,1,52.09
6.81,1,0,1,0,1,67.6,6.5,79,2,6,0,90.2,2,1,87.25
6.65,3,0,1,0,0,97.3,7,91.4,0,2,0,38,1,1,39.92
8.04,3,1,1,0,0,89.7,4.9,81.2,0,2,0,43.9,2,1,74.56
8.16,3,1,0,1,0,34.3,6.7,53,0,3,1,52.5,2,1,73.59
5.51,3,1,1,1,0,57.2,4.7,52,0,2,0,50.4,3,1,50.33
9.69,3,0,1,0,1,30.7,9.2,60.8,2,1,0,69.2,2,1,95.78
8.47,3,1,0,1,0,37,5.9,97.5,0,5,0,60.7,2,1,57.72
6.22,1,1,1,0,0,36.5,4.3,94,3,6,0,88,2,1,66.53
7.62,2,1,0,1,1,14.2,7,41.5,0,6,1,81.7,3,1,76.61
6.89,1,0,0,0,0,39.4,6.3,57.2,3,1,0,50.6,0,1,48.45
9.24,2,1,0,1,0,36.4,7.9,88.6,0,6,0,73.9,2,1,65.28
7.62,2,0,1,1,0,51.8,8.3,50.3,1,4,0,74.8,2,1,74.44
8.21,3,0,1,1,0,34.3,9.1,87.1,3,4,0,101.3,2,1,91.76
8.14,2,1,1,1,0,28.1,5.6,46,1,1,0,58.8,3,1,71.05
7.3,2,1,0,0,1,74.6,9.3,66.4,0,3,0,66,2,1,64.2
5.06,1,0,1,0,1,2,9.1,81.8,1,3,1,74.2,2,1,71.23
9.64,2,0,0,1,1,67.1,4.2,96.3,2,2,0,63.2,2,1,90.99
8.49,1,0,0,0,1,73.7,4.1,43.6,3,4,0,72.2,1,1,43.19
7.38,3,1,0,0,0,84.1,8.1,92.8,2,2,1,61.1,1,1,43.21
5.56,1,0,1,0,1,10.4,7.5,99.9,0,4,0,60.2,2,1,60.07
6.24,2,0,0,1,1,94.2,6.5,76.1,1,2,0,59.3,2,1,94.46
7.13,2,1,1,0,0,31.4,7.6,74.8,3,6,0,105.7,2,1,83.23
5.27,2,1,1,0,1,69.5,5.3,87.8,1,6,1,88.2,3,1,58.9
6.9,1,0,0,0,1,88.9,6.9,95.7,0,5,0,51.1,1,1,49.73
6.45,1,0,0,0,1,86.6,8.5,78.8,2,4,1,80.4,1,1,44.25
5.22,1,0,1,1,0,36.6,5.9,48.9,1,3,0,66.8,2,1,61.32
5.58,3,1,0,0,0,13.1,7.7,81.3,2,3,0,68.2,1,1,40.94
7.03,3,1,1,1,0,92.4,6.1,77.3,0,4,0,70,3,1,62.79
6.96,3,1,0,1,1,32.7,6.9,82.4,2,2,1,78.4,3,1,75.32
5.12,3,1,0,1,0,94.3,9.6,90.4,0,4,2,72.4,2,1,70.24
8.97,1,0,1,0,0,72.1,5,49.5,1,5,2,63.6,1,1,40.34
9.05,1,0,1,0,0,85.3,9.3,99.8,3,1,0,68.5,1,1,43.76
9.49,3,1,1,0,0,44.6,5.1,63.8,0,5,1,62.7,2,1,62.95
7.34,1,1,0,0,0,16.5,7.7,66.4,2,4,0,77.2,1,1,45.65
5.78,1,1,0,0,1,5.6,8.3,60,3,4,0,95.8,2,1,86.4
7.04,1,1,0,1,0,72.1,5.3,92.7,1,4,0,61,2,1,67.08
8.92,2,0,1,0,1,3.7,7.5,40.2,0,6,0,74.3,2,1,66.67
9.15,3,1,1,0,0,24.7,7.2,57.5,0,5,0,61.6,2,1,54.76
7.28,3,1,1,1,1,1,5.1,65.4,2,6,0,107.5,4,1,89.63
5.22,3,0,1,1,1,11.2,5.4,96.7,0,6,0,75,3,1,65.77
6.95,2,0,0,0,0,87.4,9.9,89,2,6,1,81.5,0,1,44.11
5.29,3,1,1,0,0,58.2,6.9,56.4,0,1,0,50.5,2,1,68.72
5.99,2,1,0,0,0,62.3,6.8,77.7,1,2,0,53.4,1,1,40.88
5.98,3,0,1,0,0,94.2,4.1,60,0,1,0,29.6,1,1,42.23
8.66,3,0,1,1,0,67.5,8.3,65.9,2,5,0,87.1,2,1,90.36
5.43,1,0,1,1,1,49.1,4.7,57.6,0,4,0,60.5,3,1,56.44
5.34,1,1,1,0,1,36.7,4.4,84.3,3,4,1,96.9,3,1,92.24
6.11,3,1,0,0,0,16.9,7.5,62.4,1,2,0,54.1,1,1,41.79
7.42,3,1,0,0,0,39.1,4.3,93.8,1,6,0,66.3,1,1,41.72
7.95,1,0,1,0,0,76.3,5.3,48.6,1,6,0,61,1,1,44.94
6.32,1,0,1,0,1,20.4,7.7,78.6,1,6,1,78.7,2,1,68.2
5.71,1,0,0,0,0,67.4,7.5,57.5,2,6,1,76.4,0,1,38.73
8.24,2,1,1,0,1,1.2,6.7,55.1,1,1,0,64.4,3,1,53.64
8.87,1,0,1,1,0,90.9,7.6,75.5,0,2,0,52.7,2,1,72.67
5.68,1,1,1,0,0,61.5,5.4,68.8,0,5,0,64.9,2,1,52.54
8.67,2,0,1,0,1,37.7,5.2,93.9,2,5,0,84.6,2,1,68.23
5.32,1,0,1,0,1,78.3,5.4,81.9,0,1,1,38.5,2,1,63.87
6.06,1,0,0,0,0,88.6,7.8,54.5,2,1,0,47,0,1,48.52
5.72,1,1,0,1,1,26.4,5.3,47.9,0,1,1,51.3,3,1,83.16
6.76,2,0,1,0,0,92.7,6.9,85.9,1,4,1,56.5,1,1,45.41
7.08,3,1,1,0,1,48.6,9.8,87.8,1,3,1,89.3,3,1,76.94
8.28,2,0,1,0,1,27.2,9.7,76.7,2,6,0,99.8,2,1,90.55
9.77,3,1,1,0,0,8.9,10,85.3,1,3,0,72.1,2,1,90.23
7.13,3,1,0,0,1,62.5,5.8,78.6,3,2,0,75.6,2,1,77.39
7.02,3,1,0,1,0,62.4,5.7,63.6,1,6,1,80,2,1,80.02
9.29,3,0,1,0,0,19.5,7.8,42.6,3,3,0,82.8,1,1,51.62
7.51,1,1,0,1,0,10.7,4.9,42.8,0,6,0,64.5,2,1,73.31
7.35,2,1,1,0,1,19.2,7.2,40.5,0,4,0,66.6,3,1,67.13
